Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	End Path	File Offset (s)	Delta Time (s)	label	SignalCode	Type
17	Spectrogram 1	1	6720	6720.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/10_2015/AU-XBLB01-151013-140000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/10_2015/AU-XBLB01-151013-140000.wav	0	0.1	NA	Placeholder	NA
18	Spectrogram 1	1	7140	7140.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/10_2015/AU-XBLB01-151021-191500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/10_2015/AU-XBLB01-151021-191500.wav	0	0.1	NA	Placeholder	NA
19	Spectrogram 1	1	7560	7560.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/11_2015/AU-XBLB01-151123-070000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/11_2015/AU-XBLB01-151123-070000.wav	0	0.1	NA	Placeholder	NA
20	Spectrogram 1	1	7980	7980.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/12_2015/AU-XBLB01-151228-214500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/12_2015/AU-XBLB01-151228-214500.wav	0	0.1	NA	Placeholder	NA
21	Spectrogram 1	1	8400	8400.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/03_2016/AU-XBLB01-160321-141500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/03_2016/AU-XBLB01-160321-141500.wav	0	0.1	NA	Placeholder	NA
22	Spectrogram 1	1	8820	8820.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/05_2016/AU-XBLB01-160511-170000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/05_2016/AU-XBLB01-160511-170000.wav	0	0.1	NA	Placeholder	NA
23	Spectrogram 1	1	9240	9240.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/05_2016/AU-XBLB01-160518-134500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/05_2016/AU-XBLB01-160518-134500.wav	0	0.1	NA	Placeholder	NA
24	Spectrogram 1	1	9660	9660.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/05_2016/AU-XBLB01-160524-081500.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/05_2016/AU-XBLB01-160524-081500.wav	0	0.1	NA	Placeholder	NA
25	Spectrogram 1	1	10080	10080.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/05_2016/AU-XBLB01-160524-083000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/05_2016/AU-XBLB01-160524-083000.wav	0	0.1	NA	Placeholder	NA
26	Spectrogram 1	1	10500	10500.1	0	0	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/05_2016/AU-XBLB01-160524-210000.wav	//161.55.120.117/NMML_AcousticsData/Audio_Data/DecimatedWaves/2048/XB15_AU_LB01/05_2016/AU-XBLB01-160524-210000.wav	0	0.1	NA	Placeholder	NA
